FF,stat,n,mle,stderr,mean,low,high,group
v1-k100,MUE,69,0.5027701513394138,0.06479290632545451,0.5038167950356577,0.38497689499872084,0.6421176906268782,a14
v1-k100,R2,69,0.4545216729810183,0.06949449549685921,0.46594204214390594,0.3351889219292946,0.5994323542064696,a14
v1-k100,rho,69,0.6741822253523286,0.051908789472048786,0.6790456120201928,0.5754740467829743,0.7845783945334885,a14
v3-k100,RMSE,69,0.753103079991687,0.08316308645414844,0.7526676643904059,0.5942469209820683,0.9174631443438008,a14
v3-k100,MUE,69,0.5173764630563732,0.06350370205712284,0.5167329513188759,0.40048294618238217,0.6492218359361206,a14
v3-k100,R2,69,0.4456017648262445,0.06863832870842825,0.4542329404474928,0.33712305032739465,0.596471032901092,a14
v3-k100,rho,69,0.6675340926321622,0.05166412091184435,0.6715921484533233,0.5706974176335217,0.7777207193952428,a14
Sage 2.0.0,RMSE,363,0.39028238023509193,0.016086222888706838,0.3892272108896908,0.3587842549472794,0.4196436177498107,a15
Sage 2.0.0,MUE,363,0.29754926668087994,0.01310529859511296,0.2971287763615085,0.2701668544019174,0.323646566003564,a15
Sage 2.0.0,R2,363,0.7778766220658246,0.015670990012627953,0.7780921017390741,0.7471144748544137,0.8078682288435511,a15
Sage 2.0.0,rho,363,0.8819731413517224,0.009111151018610961,0.8822586676152152,0.8640821090255848,0.9002492065403727,a15
Sage 2.2.1,RMSE,363,0.25660606786138646,0.008742875381677291,0.25676929775884116,0.24006141496358527,0.27371640206134085,a15
Sage 2.2.1,MUE,363,0.20453059511233457,0.00826621042321009,0.20421748693382297,0.18840677455499427,0.22125680125719133,a15
Sage 2.2.1,R2,363,0.8699421609073411,0.010094105941697306,0.8697627967271767,0.849196326337091,0.8892569019762823,a15
Sage 2.2.1,rho,363,0.9327068997854266,0.005371082485348624,0.9326292560633017,0.9215436689839824,0.9427233111346978,a15
smee-v2,RMSE,363,0.2358229831731106,0.0078075528660595216,0.2358657524774145,0.22112518725519947,0.2512507804918388,a15
smee-v2,MUE,363,0.1908851237921389,0.00741948835538352,0.19092652764899956,0.17686229509170168,0.20566521245273117,a15
smee-v2,R2,363,0.8917050714691727,0.008039913239940898,0.8919904393995193,0.875339992633525,0.907531005858846,a15
smee-v2,rho,363,0.9443013668682129,0.004394762400528908,0.9443402894232192,0.935759017870898,0.9529071248851112,a15
